ProductID	Product	Subcategory	Category	Color	Description
BB-7421	LL Bottom Bracket	Bottom Brackets	Components	NA	Chromoly steel.
BB-8107	ML Bottom Bracket	Bottom Brackets	Components	NA	Aluminum alloy cups; large diameter spindle.
BB-9108	HL Bottom Bracket	Bottom Brackets	Components	NA	Aluminum alloy cups and a hollow axle.
BC-M005	Mountain Bottle Cage	Bottles and Cages	Accessories	NA	Tough aluminum cage holds bottle securly on tough terrain.
BC-R205	Road Bottle Cage	Bottles and Cages	Accessories	NA	Aluminum cage is lighter than our mountain version; perfect for long distance trips.
BK-M18B-40	"Mountain-500 Black, 40"	Mountain Bikes	Bikes	Black	"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18B-42	"Mountain-500 Black, 42"	Mountain Bikes	Bikes	Black	"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18B-44	"Mountain-500 Black, 44"	Mountain Bikes	Bikes	Black	"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18B-48	"Mountain-500 Black, 48"	Mountain Bikes	Bikes	Black	"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18B-52	"Mountain-500 Black, 52"	Mountain Bikes	Bikes	Black	"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18S-40	"Mountain-500 Silver, 40"	Mountain Bikes	Bikes	Silver	"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18S-42	"Mountain-500 Silver, 42"	Mountain Bikes	Bikes	Silver	"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18S-44	"Mountain-500 Silver, 44"	Mountain Bikes	Bikes	Silver	"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18S-48	"Mountain-500 Silver, 48"	Mountain Bikes	Bikes	Silver	"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M18S-52	"Mountain-500 Silver, 52"	Mountain Bikes	Bikes	Silver	"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
BK-M38S-38	"Mountain-400-W Silver, 38"	Mountain Bikes	Bikes	Silver	"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road."
BK-M38S-40	"Mountain-400-W Silver, 40"	Mountain Bikes	Bikes	Silver	"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road."
BK-M38S-42	"Mountain-400-W Silver, 42"	Mountain Bikes	Bikes	Silver	"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road."
BK-M38S-46	"Mountain-400-W Silver, 46"	Mountain Bikes	Bikes	Silver	"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road."
BK-M47B-38	"Mountain-300 Black, 38"	Mountain Bikes	Bikes	Black	For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
BK-M47B-40	"Mountain-300 Black, 40"	Mountain Bikes	Bikes	Black	For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
BK-M47B-44	"Mountain-300 Black, 44"	Mountain Bikes	Bikes	Black	For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
BK-M47B-48	"Mountain-300 Black, 48"	Mountain Bikes	Bikes	Black	For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
BK-M68B-38	"Mountain-200 Black, 38"	Mountain Bikes	Bikes	Black	Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
BK-M68B-42	"Mountain-200 Black, 42"	Mountain Bikes	Bikes	Black	Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
BK-M68B-46	"Mountain-200 Black, 46"	Mountain Bikes	Bikes	Black	Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
BK-M68S-38	"Mountain-200 Silver, 38"	Mountain Bikes	Bikes	Silver	Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
